intersection_key,Latitude,Longitude,rank_SW,rank_SA,rank_delta_SA_minus_SW
LUBBOCK|LUBBOCK|33.5052|-101.9310|98TH STREET|CHICAGO AVENUE,33.5052,-101.931,2031.5,408.0,-1623.5
LUBBOCK|LUBBOCK|33.5052|-101.9396|98TH STREET|FRANKFORD AVENUE,33.5052,-101.9396,390.5,65.0,-325.5
LUBBOCK|LUBBOCK|33.5052|-101.9400|98TH STREET|FRANKFORD AVENUE,33.5052,-101.94,4152.0,2841.0,-1311.0
LUBBOCK|LUBBOCK|33.5052|-101.9571|98TH STREET|MILWAUKEE AVENUE,33.5052,-101.9571,1312.0,170.0,-1142.0
LUBBOCK|LUBBOCK|33.5053|-101.8530|98TH STREET|AVENUE P,33.5053,-101.853,1312.0,178.0,-1134.0
LUBBOCK|LUBBOCK|33.5053|-101.8616||98TH STREET,33.5053,-101.8616,4152.0,5258.0,1106.0
LUBBOCK|LUBBOCK|33.5053|-101.8677|98TH STREET|WEATHERFORD AVENUE,33.5053,-101.8677,4152.0,4795.0,643.0
LUBBOCK|LUBBOCK|33.5053|-101.8703|98TH STREET|CR2200,33.5053,-101.8703,4152.0,2360.0,-1792.0
LUBBOCK|LUBBOCK|33.5053|-101.8703|98TH STREET|UNIVERSITY AVENUE,33.5053,-101.8703,32.0,24.0,-8.0
LUBBOCK|LUBBOCK|33.5053|-101.8813|98TH STREET|GARY AVENUE,33.5053,-101.8813,4152.0,4998.0,846.0
LUBBOCK|LUBBOCK|33.5053|-101.8876|98TH STREET|INDIANA AVENUE,33.5053,-101.8876,390.5,185.0,-205.5
LUBBOCK|LUBBOCK|33.5053|-101.8883||98TH STREET,33.5053,-101.8883,4152.0,2782.0,-1370.0
LUBBOCK|LUBBOCK|33.5053|-101.9396||FRANKFORD AVENUE,33.5053,-101.9396,4152.0,1941.0,-2211.0
LUBBOCK|LUBBOCK|33.5054|-101.8447||US0087,33.5054,-101.8447,4152.0,5792.0,1640.0
LUBBOCK|LUBBOCK|33.5058|-101.8447||US0087,33.5058,-101.8447,4152.0,5838.0,1686.0
LUBBOCK|LUBBOCK|33.5061|-101.8447||US0087,33.5061,-101.8447,4152.0,5695.0,1543.0
LUBBOCK|LUBBOCK|33.5062|-101.8703|97TH STREET|UNIVERSITY AVENUE,33.5062,-101.8703,4152.0,3627.0,-525.0
